t,w,x,y,z,ax,ay,az
9,0.9999,0.0012,-0.0016,0.0077,0.0039,0.0015,1.007
6,0.9999,0.0011,-0.0015,0.0077,0.0034,-0.0009,0.9977
6,0.9999,0.001,-0.0013,0.0077,0.001,-0.0024,0.9906
6,0.9999,0.001,-0.0012,0.0077,-0.0005,-0.0032,0.9894
7,0.9999,0.001,-0.0012,0.0077,-0.0009,-0.0027,0.9933
6,0.9999,0.001,-0.0011,0.0078,-0.0007,-0.0009,0.998
5,0.9999,0.001,-0.0011,0.0078,-0.0002,0.0006,0.9985
5,0.9999,0.001,-0.001,0.0078,-0.0002,0.0017,0.9966
7,0.9999,0.001,-0.001,0.0078,-0.0004,0.0022,0.9962
6,0.9999,0.001,-0.001,0.0078,-0.0004,0.0022,0.999
6,0.9999,0.001,-0.001,0.0078,-0.0001,0.002,1.0013
6,0.9999,0.001,-0.001,0.0078,-0.0001,0.0013,1.0005
6,0.9999,0.001,-0.001,0.0078,-0.0002,0.0007,0.9983
5,0.9999,0.001,-0.001,0.0078,-0.0004,0,0.9978
5,0.9999,0.001,-0.001,0.0078,-0.0005,0,0.9989
6,0.9999,0.001,-0.001,0.0078,-0.0006,0,0.9998
6,0.9999,0.001,-0.001,0.0078,-0.0007,0.0005,0.9993
6,0.9999,0.001,-0.001,0.0078,-0.0002,0.0006,0.9983
6,0.9999,0.001,-0.001,0.0078,0.0002,0.0006,0.9983
6,0.9999,0.001,-0.001,0.0078,0.0012,0.0005,0.9996
5,0.9999,0.001,-0.001,0.0078,0.0022,0.0004,1.0005
7,0.9999,0.001,-0.001,0.0078,0.0028,0.0004,1.0001
6,0.9999,0.001,-0.001,0.0078,0.0033,0.0004,0.9984
6,0.9999,0.001,-0.001,0.0078,0.0032,0.0004,0.9979
6,0.9999,0.001,-0.001,0.0078,0.0027,0.0002,0.9989
7,0.9999,0.001,-0.001,0.0078,0.0022,0.0001,0.9989
5,0.9999,0.001,-0.001,0.0078,0.0018,0.0004,0.9989
5,0.9999,0.001,-0.001,0.0078,0.0017,0.0007,0.9989
6,0.9999,0.001,-0.001,0.0078,0.0013,0.0006,0.9993
7,0.9999,0.001,-0.001,0.0078,0.0007,0.0006,1.0001
6,0.9999,0.001,-0.001,0.0078,0.0006,0.001,1.0006
6,0.9999,0.001,-0.001,0.0078,0.0005,0.001,1.0001
5,0.9999,0.001,-0.001,0.0078,0.0002,0.0012,0.9996
5,0.9999,0.001,-0.001,0.0078,-0.0002,0.0012,0.9996
6,0.9999,0.001,-0.001,0.0078,-0.0005,0.0011,0.9999
6,0.9999,0.001,-0.001,0.0078,-0.0006,0.0011,0.9996
6,0.9999,0.001,-0.001,0.0078,-0.0005,0.001,0.9995
6,0.9999,0.001,-0.001,0.0078,-0.0001,0.001,0.9995
7,0.9999,0.001,-0.001,0.0078,-0.0001,0.0009,0.9995
5,0.9999,0.001,-0.001,0.0078,-0.0002,0.0004,0.9998
5,0.9999,0.001,-0.001,0.0078,-0.0002,0.0005,0.9999
6,0.9999,0.001,-0.001,0.0078,-0.0002,0.001,0.9999
7,0.9999,0.001,-0.001,0.0078,-0.0001,0.001,1.0002
6,0.9999,0.001,-0.001,0.0078,0,0.0005,1.0004
6,0.9999,0.001,-0.001,0.0078,0.0005,0.0006,1.0005
6,0.9999,0.001,-0.001,0.0078,0.001,0.0009,1.0006
6,0.9999,0.001,-0.001,0.0078,0.0016,0.0011,1.0006
6,0.9999,0.001,-0.001,0.0078,0.0021,0.0011,1.0006
6,0.9999,0.001,-0.001,0.0078,0.0023,0.0009,1.0009
6,0.9999,0.0009,-0.001,0.0078,0.0021,0.0005,1.0004
6,0.9999,0.0009,-0.001,0.0078,0.0017,0.0005,0.9999
6,0.9999,0.0009,-0.001,0.0078,0.0011,0.0004,1.0001
5,0.9999,0.0009,-0.001,0.0078,0.0002,0.0004,1.0002
17,0.9999,0.0009,-0.001,0.0078,-0.0002,0.0005,0.9998
16,0.9999,0.0009,-0.001,0.0078,-0.0001,0.001,0.9993
