t,w,x,y,z,ax,ay,az
16,0.9999,0.0025,-0.0031,0.0067,-0.0005,-0.0005,0.9993
5,0.9999,0.0024,-0.0028,0.0067,-0.0033,-0.0009,0.9954
6,0.9999,0.0024,-0.0027,0.0067,-0.0018,0.0006,0.9968
6,0.9999,0.0024,-0.0027,0.0067,0.001,0.0024,0.9984
6,0.9999,0.0024,-0.0027,0.0067,0.0035,0.0037,0.9993
6,0.9999,0.0024,-0.0027,0.0067,0.005,0.0039,0.9979
6,0.9999,0.0024,-0.0027,0.0067,0.0048,0.0028,0.9977
6,0.9999,0.0024,-0.0027,0.0066,0.0038,0.0009,0.9983
5,0.9999,0.0024,-0.0027,0.0066,0.0026,-0.0007,0.9996
5,0.9999,0.0024,-0.0026,0.0067,0.0012,-0.0013,0.9996
5,0.9999,0.0023,-0.0026,0.0067,0.0002,-0.0013,0.999
6,0.9999,0.0023,-0.0026,0.0067,-0.0002,-0.0006,0.9991
6,0.9999,0.0023,-0.0026,0.0067,-0.0005,-0.0004,0.9998
6,0.9999,0.0023,-0.0026,0.0067,-0.0007,-0.0001,1.0002
6,0.9999,0.0023,-0.0025,0.0067,-0.0006,0,0.9999
7,0.9999,0.0023,-0.0025,0.0067,-0.0009,0.0005,0.9991
5,0.9999,0.0023,-0.0025,0.0066,-0.0009,0.0005,0.999
5,0.9999,0.0023,-0.0024,0.0066,-0.0009,0.0001,0.9999
6,0.9999,0.0023,-0.0024,0.0066,-0.0007,-0.0002,1.0009
7,0.9999,0.0023,-0.0024,0.0066,-0.0007,-0.0002,1.0013
6,0.9999,0.0022,-0.0024,0.0066,-0.0012,0,1.0011
6,0.9999,0.0022,-0.0024,0.0066,-0.0017,0.0005,1.0009
6,0.9999,0.0022,-0.0023,0.0066,-0.002,0.0009,1.001
7,0.9999,0.0022,-0.0023,0.0066,-0.0022,0.0009,1.0005
5,0.9999,0.0022,-0.0023,0.0067,-0.0027,0.0004,1
5,0.9999,0.0022,-0.0023,0.0067,-0.0032,-0.0001,0.999
6,0.9999,0.0021,-0.0023,0.0067,-0.0034,-0.0006,0.9987
6,0.9999,0.0021,-0.0022,0.0067,-0.0035,-0.0006,0.9987
6,0.9999,0.0021,-0.0022,0.0067,-0.0032,-0.0004,0.9984
6,0.9999,0.0021,-0.0021,0.0067,-0.0023,0,0.998
6,0.9999,0.0021,-0.0021,0.0067,-0.0013,0.0004,0.9979
6,0.9999,0.0021,-0.0021,0.0066,-0.0009,0.0007,0.9989
6,0.9999,0.0021,-0.0021,0.0066,-0.0004,0.0007,1.0004
5,0.9999,0.0021,-0.0021,0.0066,0.0001,0.0005,1.001
6,0.9999,0.0021,-0.0021,0.0066,0.0002,0.0002,1.001
6,0.9999,0.0021,-0.0021,0.0066,0.0002,0,1.0004
7,0.9999,0.002,-0.0021,0.0066,0.0006,0,0.9995
6,0.9999,0.002,-0.0021,0.0066,0.0009,0,0.9996
5,0.9999,0.002,-0.0021,0.0066,0.001,-0.0004,0.9999
5,0.9999,0.002,-0.0021,0.0066,0.001,-0.0007,0.9993
7,0.9999,0.002,-0.0021,0.0066,0.0013,-0.0007,0.999
6,0.9999,0.002,-0.0021,0.0066,0.002,-0.0009,0.9994
6,0.9999,0.002,-0.0021,0.0066,0.0022,-0.001,0.9996
6,0.9999,0.0019,-0.0021,0.0066,0.0022,-0.001,0.9995
18,0.9999,0.0019,-0.0021,0.0067,0.0017,0.0004,0.9991
15,0.9999,0.002,-0.0021,0.0066,0.0024,0.0043,0.9978
16,0.9999,0.002,-0.0022,0.0065,0.0035,0.0068,1.0005
15,0.9999,0.002,-0.0021,0.0064,0.0005,0.0038,0.9958
17,0.9999,0.0019,-0.0021,0.0063,-0.0044,-0.0026,0.9999
15,0.9999,0.0018,-0.002,0.0063,-0.0088,-0.007,1.0043
17,0.9999,0.0016,-0.0018,0.0063,-0.0129,-0.0089,1.0013
15,0.9999,0.0016,-0.0015,0.0054,-0.0415,-0.0024,0.9972
17,0.9999,0.0021,-0.0007,-0.0012,-0.0776,0.0107,0.9896
15,0.9999,0.002,0.0016,-0.0128,-0.0253,-0.0261,1.0194
16,0.9999,-0.0006,0.0011,-0.0136,0.0068,-0.0381,1.0155
15,0.9999,-0.0029,-0.0038,-0.0116,-0.0621,-0.0223,1.0011
15,0.9999,-0.0042,-0.0043,-0.0048,-0.1528,0.0011,0.9978
16,0.9999,-0.0051,-0.003,0.0062,-0.2339,0.0149,1.0128
15,0.9999,-0.0067,-0.0045,0.0128,0.0994,0.0094,1.0709
16,0.9998,-0.013,-0.0034,0.0116,0.1862,0.0293,1.1066
15,0.9995,-0.0255,-0.009,0.0128,0.1666,0.0059,1.1656
16,0.9988,-0.0386,-0.0217,0.016,0.092,-0.0446,1.2563
15,0.9979,-0.046,-0.0388,0.0237,0.052,-0.0999,1.3074
17,0.9967,-0.0479,-0.0553,0.0333,0.129,-0.1145,1.2573
15,0.9957,-0.0506,-0.0643,0.0429,0.1969,-0.0964,1.1675
17,0.9945,-0.0572,-0.0677,0.0546,0.2429,-0.0906,1.1261
15,0.9933,-0.0643,-0.0684,0.0659,0.2402,-0.1205,1.1403
17,0.9926,-0.0657,-0.0694,0.0742,0.2025,-0.1418,1.1672
15,0.9921,-0.0612,-0.0734,0.0815,0.2806,-0.1116,1.1442
15,0.9912,-0.0613,-0.0761,0.0891,0.3646,-0.0497,1.0201
15,0.9892,-0.071,-0.0781,0.1013,0.2882,-0.0305,0.8914
15,0.9855,-0.0822,-0.0886,0.1183,0.2203,-0.0408,0.8367
15,0.9811,-0.0895,-0.1015,0.1383,0.1635,-0.0707,0.8413
15,0.9775,-0.0926,-0.1008,0.16,0.1466,-0.0685,0.8733
17,0.9751,-0.0984,-0.0947,0.1747,0.1194,-0.0377,0.884
15,0.9705,-0.1066,-0.1094,0.1864,0.1614,-0.0802,0.899
17,0.9636,-0.1139,-0.1371,0.1994,0.2327,-0.1127,0.9276
15,0.9565,-0.1185,-0.1613,0.2119,0.2897,-0.1547,0.9528
17,0.9518,-0.1226,-0.1701,0.2239,0.3014,-0.1776,0.927
15,0.9477,-0.1321,-0.1605,0.2421,0.2626,-0.2308,0.834
17,0.942,-0.1419,-0.1461,0.2667,0.2034,-0.264,0.7987
15,0.9344,-0.1426,-0.1417,0.2939,0.1823,-0.265,0.833
16,0.9265,-0.141,-0.1417,0.3186,0.1802,-0.259,0.8489
15,0.9183,-0.143,-0.1411,0.3409,0.1172,-0.2782,0.864
16,0.9099,-0.1454,-0.1374,0.3633,0.0754,-0.2886,0.8973
15,0.9008,-0.1458,-0.1332,0.3866,0.0648,-0.2894,0.8988
15,0.8907,-0.1415,-0.1324,0.4111,0.0579,-0.2836,0.8998
15,0.8799,-0.1356,-0.1325,0.4356,0.0604,-0.2882,0.8986
15,0.8701,-0.1331,-0.1284,0.4568,0.0829,-0.3079,0.9269
17,0.8604,-0.1353,-0.1217,0.4761,0.0649,-0.3416,0.9441
15,0.8487,-0.1395,-0.118,0.4963,0.0205,-0.366,0.9124
17,0.835,-0.1437,-0.1151,0.5184,-0.0214,-0.3665,0.8826
15,0.8199,-0.1434,-0.1116,0.5428,-0.0548,-0.3167,0.8813
17,0.8042,-0.1387,-0.1073,0.5679,-0.0486,-0.2499,0.8972
15,0.7887,-0.1367,-0.0988,0.5912,-0.0187,-0.1993,0.9209
16,0.7733,-0.1397,-0.0889,0.612,0.0054,-0.1969,0.9497
15,0.7581,-0.1428,-0.0835,0.6307,-0.002,-0.2219,0.9773
16,0.7429,-0.1418,-0.0821,0.649,-0.0272,-0.2361,0.9897
15,0.7276,-0.1409,-0.0788,0.6667,-0.0254,-0.2157,0.969
16,0.7119,-0.1443,-0.0733,0.6833,0.0007,-0.2045,0.9873
15,0.6968,-0.1516,-0.0679,0.6978,0.0007,-0.2102,1.0525
15,0.6826,-0.1595,-0.0647,0.7101,-0.0446,-0.2089,1.0833
16,0.6676,-0.1643,-0.0661,0.7231,-0.0913,-0.2216,1.0491
15,0.6502,-0.1711,-0.0698,0.7369,-0.1221,-0.2513,0.97
16,0.6287,-0.1802,-0.0726,0.7529,-0.1443,-0.2512,0.9108
15,0.6047,-0.186,-0.0728,0.7709,-0.1613,-0.2366,0.9259
17,0.5816,-0.1866,-0.0705,0.7886,-0.1696,-0.2556,0.9631
15,0.558,-0.1871,-0.0658,0.8058,-0.1573,-0.2579,0.9812
