t,w,x,y,z
21:25:57.842400,1,0.03,0.01,-0.07
21:25:57.858112,1,0.03,0.01,-0.07
21:25:57.874946,1,0.02,0,-0.071
21:25:57.891540,1,0.02,0,-0.071
21:25:57.908232,1,0.02,0,-0.07
21:25:57.924985,1,0.02,0,-0.071
21:25:57.942423,1,0.02,0,-0.071
21:25:57.958277,1,0.02,0,-0.071
21:25:57.975467,1,0.02,0,-0.07
21:25:57.991858,1,0.02,0,-0.071
21:25:58.008359,1,0.02,0,-0.071
21:25:58.025092,1,0.02,0,-0.07
21:25:58.041494,1,0.02,0,-0.071
21:25:58.058279,1,0.02,0,-0.07
21:25:58.075053,1,0.02,0,-0.071
21:25:58.091978,1,0.02,0,-0.071
21:25:58.108752,1,0.02,0,-0.071
21:25:58.125642,1,0.02,0,-0.07
21:25:58.142049,1,0.02,0,-0.071
21:25:58.158604,1,0.02,0,-0.07
21:25:58.175597,1,0.02,0,-0.071
21:25:58.192176,1,0.02,-0,-0.071
21:25:58.208783,1,0.02,-0,-0.071
21:25:58.225286,1,0.02,-0,-0.07
21:25:58.242033,1,0.02,-0,-0.071
21:25:58.258944,1,0.02,-0.01,-0.071
21:25:58.275471,1,0.02,-0.01,-0.07
21:25:58.292251,1,0.02,-0.01,-0.071
21:25:58.308859,1,0.02,-0.01,-0.071
21:25:58.325211,1,0.03,-0.01,-0.07
21:25:58.342117,1,0.03,-0.01,-0.071
21:25:58.358493,1,0.03,-0.02,-0.07
21:25:58.375778,1,0.03,-0.02,-0.071
21:25:58.392093,1,0.03,-0.02,-0.071
21:25:58.409018,1,0.04,-0.02,-0.08
21:25:58.425405,1,0.04,-0.02,-0.081
21:25:58.441814,1,0.04,-0.01,-0.081
21:25:58.458395,1,0.03,0,-0.08
21:25:58.474999,1,0.03,0,-0.081
21:25:58.491565,1,0.02,0.01,-0.071
21:25:58.508279,1,0.02,0.01,-0.07
21:25:58.524829,1,0.01,0.01,-0.071
21:25:58.541603,1,0.01,0.01,-0.071
21:25:58.558347,1,0.01,0.01,-0.07
21:25:58.575492,1,0.01,0.01,-0.071
21:25:58.592218,1,0.01,0.02,-0.071
21:25:58.608859,1,0.01,0.01,-0.071
21:25:58.625083,1,0.01,-0,-0.07
21:25:58.641615,1,0.01,-0,-0.071
21:25:58.658391,1,0.01,0,-0.07
21:25:58.674984,1,0.01,0,-0.071
21:25:58.691959,1,-0,-0.01,-0.071
21:25:58.708566,1,-0.01,-0.01,-0.07
21:25:58.725012,1,-0.01,-0.02,-0.071
21:25:58.741660,1,-0.01,-0.03,-0.061
21:25:58.758296,1,-0.01,-0.05,-0.06
21:25:58.774944,1,-0.01,-0.05,-0.061
21:25:58.792090,1,-0.01,-0.06,-0.061
21:25:58.808487,1,-0.01,-0.06,-0.06
21:25:58.825216,1,-0.01,-0.05,-0.061
21:25:58.841761,1,-0.02,-0.04,-0.061
21:25:58.858312,1,-0.01,-0.03,-0.06
21:25:58.874866,1,-0.01,-0.03,-0.061
21:25:58.891639,1,-0.01,-0.02,-0.061
21:25:58.908261,1,-0.01,-0.02,-0.06
21:25:58.925005,1,-0.01,-0.01,-0.061
21:25:58.941548,1,-0.01,-0,-0.061
21:25:58.958289,1,-0.01,0,-0.06
21:25:58.974790,1,-0.01,0.01,-0.061
21:25:58.992028,1,-0,0.02,-0.071
21:25:59.008454,1,0,0.02,-0.07
21:25:59.025251,1,0.01,0.02,-0.071
21:25:59.041614,1,0,0.01,-0.071
21:25:59.058252,1,-0,-0,-0.08
21:25:59.074961,1,-0,-0,-0.071
21:25:59.091492,1,-0,0,-0.071
21:25:59.108234,1,-0.01,0.02,-0.07
21:25:59.125151,1,-0.01,0.02,-0.071
21:25:59.141568,1,-0.01,0.04,-0.071
21:25:59.158269,1,-0.02,0.05,-0.07
21:25:59.174766,1,-0.02,0.06,-0.071
21:25:59.191969,1,-0.02,0.05,-0.071
21:25:59.208476,1,-0.02,0.04,-0.07
21:25:59.225132,1,-0.02,0.04,-0.071
21:25:59.241677,1,-0.02,0.03,-0.071
21:25:59.258206,1,-0.02,0.03,-0.07
21:25:59.274891,1,-0.03,0.03,-0.071
21:25:59.291537,1,-0.03,0.04,-0.071
21:25:59.308129,1,-0.03,0.04,-0.07
21:25:59.325188,1,-0.03,0.04,-0.071
21:25:59.342095,1,-0.03,0.04,-0.071
21:25:59.358384,1,-0.03,0.04,-0.07
21:25:59.375218,1,-0.03,0.04,-0.071
21:25:59.391997,1,-0.03,0.03,-0.071
21:25:59.408455,1,-0.03,0.03,-0.07
21:25:59.425429,1,-0.03,0.03,-0.071
21:25:59.441671,1,-0.04,0.03,-0.071
21:25:59.458303,1,-0.04,0.03,-0.07
21:25:59.474955,1,-0.04,0.04,-0.071
21:25:59.491651,1,-0.05,0.05,-0.071
21:25:59.508209,1,-0.05,0.05,-0.07
21:25:59.525687,1,-0.05,0.05,-0.071
21:25:59.541542,1,-0.05,0.04,-0.071
21:25:59.558354,1,-0.04,0.04,-0.06
21:25:59.574981,1,-0.04,0.04,-0.061
21:25:59.591897,1,-0.05,0.04,-0.061
21:25:59.608667,1,-0.05,0.05,-0.06
21:25:59.625709,1,-0.04,0.05,-0.061
21:25:59.641719,1,-0.04,0.05,-0.051
21:25:59.658463,1,-0.04,0.05,-0.05
21:25:59.675067,1,-0.04,0.05,-0.051
21:25:59.691656,1,-0.04,0.06,-0.051
21:25:59.708309,1,-0.04,0.07,-0.05
21:25:59.724927,1,-0.04,0.07,-0.051
21:25:59.741615,1,-0.04,0.07,-0.051
21:25:59.758412,1,-0.04,0.08,-0.04
21:25:59.775637,1,-0.04,0.08,-0.051
21:25:59.791919,1,-0.03,0.08,-0.051
21:25:59.808788,1,-0.03,0.08,-0.05
21:25:59.826187,1,-0.03,0.08,-0.051
21:25:59.841726,1,-0.04,0.08,-0.041
21:25:59.858327,0.99,-0.04,0.08,-0.04
21:25:59.875407,0.99,-0.05,0.09,-0.04
21:25:59.891668,0.99,-0.05,0.09,-0.04
21:25:59.908204,0.99,-0.05,0.08,-0.03
21:25:59.924852,0.99,-0.06,0.08,-0.03
21:25:59.941579,0.99,-0.06,0.09,-0.03
21:25:59.958213,0.99,-0.06,0.09,-0.03
21:25:59.974765,0.99,-0.05,0.1,-0.03
21:25:59.991534,0.99,-0.03,0.09,-0.04
21:26:00.008735,1,-0.02,0.09,-0.04
21:26:00.025659,1,-0.01,0.09,-0.041
21:26:00.042252,1,-0.01,0.08,-0.041
21:26:00.058359,1,-0.01,0.08,-0.04
21:26:00.074950,1,-0,0.08,-0.041
21:26:00.091634,1,0,0.09,-0.051
21:26:00.108462,1,0,0.08,-0.05
21:26:00.124914,1,-0,0.08,-0.051
21:26:00.141560,1,-0.01,0.07,-0.051
21:26:00.158290,1,-0.01,0.08,-0.04
21:26:00.174867,1,-0.01,0.08,-0.041
21:26:00.191533,1,-0.01,0.08,-0.041
21:26:00.208670,1,-0,0.08,-0.04
21:26:00.225019,1,0,0.08,-0.041
21:26:00.241607,1,0.01,0.08,-0.041
21:26:00.258224,1,0.01,0.06,-0.05
21:26:00.274844,1,0.01,0.06,-0.051
21:26:00.291633,1,0,0.05,-0.051
21:26:00.308222,1,-0,0.05,-0.04
21:26:00.324879,1,-0,0.05,-0.041
21:26:00.341559,1,-0.01,0.04,-0.041
21:26:00.358046,1,-0.01,0.04,-0.04
21:26:00.375008,1,-0.01,0.03,-0.041
21:26:00.391499,1,-0.01,0.03,-0.041
21:26:00.408598,1,-0.02,0.03,-0.04
21:26:00.425213,1,-0.02,0.04,-0.041
21:26:00.441703,1,-0.02,0.04,-0.051
21:26:00.458259,1,-0.02,0.04,-0.05
21:26:00.474845,1,-0.02,0.04,-0.051
21:26:00.491571,1,-0.01,0.03,-0.041
21:26:00.508166,1,-0.01,0.03,-0.04
21:26:00.524907,1,-0.01,0.03,-0.041
21:26:00.541526,1,-0.01,0.02,-0.041
