t,w,x,y,z,ax,ay,az
11,1,0,-0,0,0,0,1
8,1,0,-0,0,0,0,1
7,1,0,-0,0,0,0,1
7,1,0,-0,0,-0.01,0,1
8,1,0,-0,0.01,-0.01,0,1
8,1,0,-0,0.01,-0,0,0.99
7,1,0,-0,0.01,0,-0,1
7,1,0,-0,0.01,0,-0,1
7,1,0,-0,0.01,0,0,1
8,1,0,-0,0.01,-0,0,1
7,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,0,0,1
8,1,0,-0,0.01,-0,0,1
8,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,0,0,1
8,1,0,-0,0.01,-0,0,1
8,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,0,0,1
8,1,0,-0,0.01,0,0,1
8,1,0,-0,0.01,-0,0,1
7,1,0,-0,0.01,-0,0,1
7,1,0,-0,0.01,-0,0,1
7,1,0,-0,0.01,-0,0,1
7,1,0,-0,0.01,-0,0,1
8,1,0,-0,0.01,-0,0,1
7,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,0,0,1
8,1,0,-0,0.01,0,0,1
8,1,0,-0,0.01,0,-0,1
7,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,0,0,1
8,1,0,-0,0.01,0,0,1
8,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,-0,0,1
8,1,0,-0,0.01,-0,0,1
7,1,0,-0,0.01,-0,0,1
8,1,0,-0,0.01,-0,0,1
7,1,0,-0,0.01,-0,0,1
7,1,0,-0,0.01,-0,0,1
7,1,0,-0,0.01,-0,0,1
8,1,0,-0,0.01,-0,0,1
7,1,0,-0,0.01,-0,0,1
7,1,0,-0,0.01,-0,0,1
8,1,0,-0,0.01,-0,0,1
8,1,0,-0,0.01,-0,0,1
7,1,0,-0,0.01,-0,0,1
7,1,0,-0,0.01,-0,0,1
8,1,0,-0,0.01,-0,0,1
8,1,0,-0,0.01,-0,0,1
8,1,0,-0,0.01,-0,0,1
7,1,0,-0,0.01,-0,0,1
7,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,-0,0,1
8,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,-0,0,1
7,1,0,-0,0.01,0,0,1
8,1,0,-0,0.01,-0,-0,1
7,1,0,-0,0.01,-0,-0,1
7,1,0,-0,0.01,-0,0,1
8,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,0.03,0.03,1
8,1,0,-0,0.01,0.05,0.07,1
7,1,0,-0,0.01,0.04,0.09,1
8,1,0,-0,0.01,0.02,0.13,1
7,1,0,-0,0.01,0.01,0.15,1.01
8,1,0,-0.01,0,-0.01,0.17,1.01
7,1,0,-0.01,-0,-0.03,0.17,1.01
7,1,0,-0.01,-0.01,-0.04,0.18,1
7,1,0,-0.01,-0.01,-0.03,0.18,0.98
8,1,0,-0.01,-0.02,-0.01,0.18,0.98
