Timestamp,Q_w,Q_x,Q_y,Q_z
2025-03-27 16:45:11.239,0.7,-1.13,-1.34,-0.14
2025-03-27 16:45:11.243,0.87,-0.92,-1.31,-0.68
2025-03-27 16:45:11.248,1.05,-0.51,1.48,-1.07
2025-03-27 16:45:11.252,0.52,-0.05,-0.63,-0.62
2025-03-27 16:45:11.257,0.52,1.6,0.44,0.02
2025-03-27 16:45:11.262,1.05,-1.77,-1.72,-1.71
2025-03-27 16:45:11.266,0.7,0.5,-0.13,-1.58
2025-03-27 16:45:11.271,0.87,-0.94,-0.83,-1.97
2025-03-27 16:45:11.275,1.05,1.51,-1.34,-1.69
2025-03-27 16:45:11.279,0.52,-0.85,1.14,0.05
2025-03-27 16:45:11.284,0.87,-0.3,-1.78,-0.79
2025-03-27 16:45:11.288,1.05,1.66,-0.34,1.79
