t,w,x,y,z,ax,ay,az
23:39:53.318334,0.99,-0.02,-0.01,-0.17,0.02,-0.02,1.04
23:39:53.329334,0.99,-0.02,-0.01,-0.17,0.01,-0.01,1.04
23:39:53.346334,0.99,-0.01,-0.01,-0.17,0.01,-0.01,1.01
23:39:53.362849,0.99,-0.01,-0.01,-0.17,0.01,-0.01,1.0
23:39:53.365847,0.99,-0.01,-0.02,-0.16,0.01,-0.01,0.99
23:39:53.378847,0.99,-0.01,-0.02,-0.16,0.01,-0.02,0.98
23:39:53.383847,0.99,-0.01,-0.02,-0.16,0.02,-0.02,0.98
23:39:53.395847,0.99,-0.01,-0.02,-0.16,0.02,-0.02,0.98
23:39:53.412855,0.99,-0.01,-0.02,-0.16,0.02,-0.02,0.98
23:39:53.415855,0.99,-0.01,-0.02,-0.16,0.02,-0.02,0.97
23:39:53.429855,0.99,-0.01,-0.02,-0.16,0.03,-0.02,0.97
23:39:53.433855,0.99,-0.01,-0.02,-0.16,0.04,-0.02,0.98
23:39:53.445856,0.99,-0.01,-0.02,-0.16,0.03,-0.02,0.98
23:39:53.462856,0.99,-0.01,-0.02,-0.16,0.03,-0.01,0.99
23:39:53.465856,0.99,-0.01,-0.02,-0.16,0.03,-0.02,0.99
23:39:53.478856,0.99,-0.01,-0.02,-0.16,0.04,-0.02,1.0
23:39:53.483855,0.99,-0.01,-0.02,-0.16,0.04,-0.03,1.0
23:39:53.495855,0.99,-0.02,-0.02,-0.16,0.04,-0.03,1.0
23:39:53.512856,0.99,-0.02,-0.02,-0.16,0.04,-0.03,1.01
23:39:53.515856,0.99,-0.02,-0.02,-0.16,0.03,-0.04,1.01
23:39:53.529864,0.99,-0.02,-0.02,-0.16,0.03,-0.04,1.01
23:39:53.533864,0.99,-0.02,-0.02,-0.16,0.03,-0.03,1.0
23:39:53.545864,0.99,-0.02,-0.02,-0.16,0.03,-0.02,1.0
23:39:53.562864,0.99,-0.02,-0.02,-0.16,0.03,-0.01,1.0
23:39:53.565864,0.99,-0.01,-0.02,-0.16,0.03,-0.0,1.0
23:39:53.579872,0.99,-0.01,-0.02,-0.16,0.03,0.0,1.0
23:39:53.583872,0.99,-0.01,-0.02,-0.16,0.03,0.0,1.0
23:39:53.595872,0.99,-0.01,-0.02,-0.16,0.04,-0.0,1.0
23:39:53.612872,0.99,-0.01,-0.02,-0.15,0.04,-0.01,1.0
23:39:53.615872,0.99,-0.01,-0.02,-0.15,0.05,-0.02,1.0
23:39:53.629872,0.99,-0.01,-0.02,-0.15,0.06,-0.03,1.0
23:39:53.633872,0.99,-0.01,-0.02,-0.15,0.06,-0.04,1.0
